Date,Product,Category,Revenue
2026-01-01,Laptop,Electronics,55000
2026-01-02,Phone,Electronics,30000
2026-01-03,Shirt,Clothing,1500
2026-01-04,Shoes,Clothing,2500
2026-01-05,TV,Electronics,40000
2026-01-06,Headphones,Electronics,2000
2026-01-07,Refrigerator,Appliances,35000
2026-01-08,Microwave,Appliances,8000
2026-01-09,Jeans,Clothing,2000
2026-01-10,Jacket,Clothing,3500
2026-01-11,Laptop,Electronics,60000
2026-01-12,Phone,Electronics,28000
2026-01-13,Shirt,Clothing,1200
2026-01-14,Shoes,Clothing,2700
2026-01-15,TV,Electronics,42000
2026-01-16,Headphones,Electronics,1800
2026-01-17,Refrigerator,Appliances,33000
2026-01-18,Microwave,Appliances,7500
2026-01-19,Jeans,Clothing,2200
2026-01-20,Jacket,Clothing,3000
2026-01-21,Laptop,Electronics,58000
2026-01-22,Phone,Electronics,31000
2026-01-23,Shirt,Clothing,1600
2026-01-24,Shoes,Clothing,2600
2026-01-25,TV,Electronics,41000
2026-01-26,Headphones,Electronics,2100
2026-01-27,Refrigerator,Appliances,36000
2026-01-28,Microwave,Appliances,8200
2026-01-29,Jeans,Clothing,2400
2026-01-30,Jacket,Clothing,3300
2026-02-01,Laptop,Electronics,62000
2026-02-02,Phone,Electronics,29000
2026-02-03,Shirt,Clothing,1400
2026-02-04,Shoes,Clothing,2800
2026-02-05,TV,Electronics,43000
2026-02-06,Headphones,Electronics,1900
2026-02-07,Refrigerator,Appliances,34000
2026-02-08,Microwave,Appliances,7800
2026-02-09,Jeans,Clothing,2100
2026-02-10,Jacket,Clothing,3100
2026-02-11,Laptop,Electronics,61000
2026-02-12,Phone,Electronics,32000
2026-02-13,Shirt,Clothing,1550
2026-02-14,Shoes,Clothing,2900
2026-02-15,TV,Electronics,45000
2026-02-16,Headphones,Electronics,2300
2026-02-17,Refrigerator,Appliances,37000
2026-02-18,Microwave,Appliances,8300
2026-02-19,Jeans,Clothing,2500
2026-02-20,Jacket,Clothing,3400
2026-02-21,Laptop,Electronics,59000
2026-02-22,Phone,Electronics,30000
2026-02-23,Shirt,Clothing,1700
2026-02-24,Shoes,Clothing,2600
2026-02-25,TV,Electronics,42000
2026-02-26,Headphones,Electronics,2200
2026-02-27,Refrigerator,Appliances,35500
2026-02-28,Microwave,Appliances,8000
2026-03-01,Jeans,Clothing,2300
2026-03-02,Jacket,Clothing,3200
2026-03-03,Laptop,Electronics,63000
2026-03-04,Phone,Electronics,31000
2026-03-05,Shirt,Clothing,1500
2026-03-06,Shoes,Clothing,2700
2026-03-07,TV,Electronics,44000
2026-03-08,Headphones,Electronics,2400
2026-03-09,Refrigerator,Appliances,36500
2026-03-10,Microwave,Appliances,8100
2026-03-11,Jeans,Clothing,2600
2026-03-12,Jacket,Clothing,3500
2026-03-13,Laptop,Electronics,60000
2026-03-14,Phone,Electronics,29500
2026-03-15,Shirt,Clothing,1600
2026-03-16,Shoes,Clothing,2800
2026-03-17,TV,Electronics,46000
2026-03-18,Headphones,Electronics,2000
2026-03-19,Refrigerator,Appliances,37500
2026-03-20,Microwave,Appliances,8400
2026-03-21,Jeans,Clothing,2400
2026-03-22,Jacket,Clothing,3300
2026-03-23,Laptop,Electronics,62000
2026-03-24,Phone,Electronics,30500
2026-03-25,Shirt,Clothing,1800
2026-03-26,Shoes,Clothing,2900
2026-03-27,TV,Electronics,47000
2026-03-28,Headphones,Electronics,2100
2026-03-29,Refrigerator,Appliances,38000
2026-03-30,Microwave,Appliances,8600
2026-03-31,Jeans,Clothing,2700
2026-04-01,Jacket,Clothing,3600
2026-04-02,Laptop,Electronics,64000
2026-04-03,Phone,Electronics,32000
2026-04-04,Shirt,Clothing,1700
2026-04-05,Shoes,Clothing,3000
2026-04-06,TV,Electronics,48000
2026-04-07,Headphones,Electronics,2200
2026-04-08,Refrigerator,Appliances,39000
2026-04-09,Microwave,Appliances,8500
2026-04-10,Jeans,Clothing,2500
